date, open, high, low, close, amount, vol, str07
20060123, 5.0, 5.17, 4.9, 5.11, 7378132.0, 14564746, 575, 
20060124, 5.11, 5.43, 5.1, 5.32, 6423348.8, 12021630, 511, 
20060125, 5.29, 5.38, 5.12, 5.2, 3340790.4, 6399740, 532, 
20060206, 5.2, 5.31, 5.12, 5.31, 3305986.0, 6332580, 520, 
20060207, 5.35, 5.38, 5.2, 5.25, 3277974.2, 6199458, 531, 
20060208, 5.24, 5.39, 5.22, 5.34, 2999018.4, 5637795, 525, 
20060209, 5.34, 5.34, 5.15, 5.17, 2586203.6, 4963949, 534, 
20060210, 5.2, 5.25, 5.17, 5.21, 1540894.8, 2964545, 517, 
20060213, 5.2, 5.2, 5.1, 5.18, 1595664.8, 3102150, 521, 
20060214, 5.18, 5.32, 5.15, 5.31, 2695490.0, 5118650, 518, 
20060215, 5.37, 5.4, 5.28, 5.31, 3962124.8, 7441674, 531, 
20060216, 5.3, 5.3, 5.11, 5.12, 2040664.4, 3943590, 531, 
20060217, 5.12, 5.18, 5.1, 5.13, 1237042.6, 2407106, 512, 
20060220, 5.1, 5.2, 5.03, 5.1, 1537342.3, 3007598, 513, 
20060221, 5.08, 5.52, 5.08, 5.45, 7655353.6, 14342100, 510, 
20060222, 5.43, 5.47, 5.31, 5.34, 5774746.4, 10716447, 545, 
20060223, 5.33, 5.36, 5.23, 5.31, 1798612.0, 3398101, 534, 
20060224, 5.35, 5.46, 5.35, 5.37, 2756003.2, 5107972, 531, 
20060227, 5.37, 5.42, 5.21, 5.25, 2103304.8, 3985937, 537, 
20060228, 5.24, 5.36, 5.12, 5.35, 2421244.4, 4630807, 525, 
20060301, 5.3, 5.52, 5.3, 5.4, 5552349.2, 10195291, 535, 
20060302, 5.4, 5.48, 5.21, 5.28, 4193187.2, 7806871, 540, 
20060303, 5.27, 5.32, 5.14, 5.28, 2683324.2, 5135335, 528, 
20060306, 5.27, 5.32, 5.17, 5.21, 1219652.8, 2330574, 528, 
20060307, 5.2, 5.21, 5.06, 5.07, 2123504.8, 4142572, 521, 
20060308, 5.05, 5.17, 5.0, 5.11, 1434766.2, 2822470, 507, 
20060309, 5.12, 5.15, 5.02, 5.06, 1147097.4, 2268197, 511, 
20060310, 5.06, 5.11, 5.05, 5.08, 823871.7, 1624180, 506, 
20060313, 5.07, 5.09, 5.01, 5.07, 725239.4, 1436280, 508, 
20060314, 5.07, 5.15, 5.04, 5.1, 728157.3, 1429327, 507, 
20060315, 5.1, 5.19, 5.05, 5.19, 1581136.1, 3082482, 510, 
20060316, 5.29, 5.41, 5.27, 5.28, 5713903.2, 10692289, 519, 
20060317, 5.28, 5.35, 5.22, 5.29, 2049393.8, 3887656, 528, 
20060320, 5.34, 5.38, 5.21, 5.35, 2272463.2, 4269128, 529, 
20060321, 5.36, 5.48, 5.3, 5.39, 5176711.6, 9579396, 535, 
20060322, 5.42, 5.42, 5.28, 5.36, 2409107.2, 4516511, 539, 
20060323, 5.35, 5.36, 5.26, 5.32, 2515110.0, 4741061, 536, 
20060324, 5.31, 5.36, 5.28, 5.3, 2246808.8, 4219255, 532, 
20060327, 5.33, 5.52, 5.32, 5.51, 5975741.6, 10998393, 530, 
20060328, 5.51, 5.57, 5.44, 5.47, 3935066.0, 7161949, 551, 
20060329, 5.45, 5.6, 5.39, 5.45, 5126790.8, 9302061, 547, 
20060330, 5.45, 5.48, 5.27, 5.28, 3200147.6, 5959807, 545, 
20060331, 5.27, 5.35, 5.18, 5.28, 2434212.0, 4644814, 528, 
20060403, 5.27, 5.32, 5.18, 5.32, 2382854.8, 4531345, 528, 
20060404, 5.32, 5.45, 5.25, 5.45, 4055761.2, 7535030, 532, 
20060405, 5.46, 5.57, 5.4, 5.46, 4441839.2, 8116674, 545, 
20060406, 5.46, 5.73, 5.43, 5.56, 10372603.2, 18525560, 546, 
20060407, 5.56, 5.98, 5.47, 5.95, 12493272.8, 21842361, 556, 
20060410, 5.93, 6.1, 5.79, 5.97, 11595396.0, 19496497, 595, 
20060411, 5.95, 5.98, 5.76, 5.82, 6965128.0, 11879318, 597, 
20060412, 5.82, 5.9, 5.76, 5.82, 4171743.2, 7164787, 582, 
20060413, 5.81, 5.86, 5.44, 5.45, 5788956.0, 10276540, 582, 
20060414, 5.44, 5.57, 5.37, 5.54, 3126893.2, 5708821, 545, 
20060417, 5.5, 5.61, 5.43, 5.58, 3234472.8, 5828040, 554, 
20060418, 5.6, 5.71, 5.5, 5.56, 3359825.6, 6011660, 558, 
20060419, 5.6, 5.62, 5.4, 5.48, 3064449.0, 5607357, 556, 
20060420, 5.48, 5.5, 5.26, 5.29, 3355201.0, 6274882, 548, 
20060421, 5.29, 5.46, 5.26, 5.38, 2818281.4, 5260015, 529, 
20060424, 5.35, 5.36, 5.06, 5.07, 5298532.8, 10304503, 538, 
20060425, 5.05, 5.17, 4.91, 5.13, 3126032.8, 6219637, 507, 
20060426, 5.11, 5.24, 4.96, 5.23, 4190262.8, 8229685, 513, 
20060427, 5.2, 5.2, 5.06, 5.11, 2376038.8, 4636611, 523, 
20060428, 5.0, 5.2, 4.94, 5.11, 2509711.2, 4909070, 511, 
20060508, 5.12, 5.27, 5.12, 5.26, 3008746.4, 5770438, 511, 
20060509, 5.28, 5.48, 5.18, 5.4, 5255752.0, 9789102, 526, 
20060510, 5.45, 5.69, 5.37, 5.55, 6667550.8, 11998320, 540, 
20060511, 5.52, 5.7, 5.36, 5.38, 6985028.0, 12625144, 555, 
20060512, 5.35, 5.75, 5.32, 5.73, 11033421.6, 19586243, 538, 
20060515, 5.78, 6.0, 5.61, 5.99, 12250428.8, 20959963, 573, 
20060516, 5.98, 6.0, 5.62, 5.67, 10373860.0, 17965351, 599, 
20060517, 5.66, 6.2, 5.59, 6.09, 14585897.6, 24772095, 567, 
20060518, 6.09, 6.26, 5.9, 6.25, 13750102.4, 22446787, 609, 
20060519, 6.38, 6.48, 6.18, 6.22, 18346356.8, 29070428, 625, 
20060522, 6.22, 6.42, 6.1, 6.24, 9947592.0, 15954825, 622, 
20060524, 5.86, 6.02, 5.62, 5.62, 7083933.6, 12336201, 624, 
20060525, 5.6, 5.69, 5.46, 5.61, 3213652.0, 5779447, 562, 
20060526, 5.61, 5.82, 5.6, 5.73, 3515922.0, 6157586, 561, 
20060529, 5.73, 5.91, 5.58, 5.88, 4963836.0, 8610413, 573, 
20060530, 5.95, 6.03, 5.83, 5.89, 5847922.4, 9887914, 588, 
20060531, 5.89, 5.96, 5.68, 5.76, 4307900.4, 7432083, 589, 
20060601, 5.73, 6.04, 5.72, 5.99, 7085848.8, 11912138, 576, 
20060602, 6.09, 6.4, 6.02, 6.11, 12319594.4, 19865881, 599, 
20060605, 6.06, 6.24, 6.01, 6.19, 5543410.0, 9059961, 611, 
20060606, 6.17, 6.26, 6.05, 6.07, 4760630.4, 7754004, 619, 
20060607, 6.07, 6.14, 5.49, 5.5, 5157376.4, 8909023, 607, 
20060608, 5.48, 5.59, 5.28, 5.5, 3812613.6, 6981182, 550, 
20060609, 5.5, 5.56, 5.39, 5.43, 3132696.2, 5743856, 550, 
20060612, 5.35, 5.52, 5.28, 5.51, 2243080.6, 4164582, 539, 
20060613, 5.58, 5.78, 5.42, 5.55, 4462973.2, 7944078, 551, 
20060614, 5.55, 5.55, 5.32, 5.42, 1869352.4, 3456044, 555, 
20060615, 5.42, 5.53, 5.35, 5.4, 1389892.6, 2564072, 542, 
20060616, 5.42, 5.52, 5.42, 5.51, 1880308.0, 3430670, 540, 
20060619, 5.48, 5.59, 5.39, 5.54, 2103492.6, 3835460, 551, 
20060620, 5.52, 5.54, 5.43, 5.5, 1931961.8, 3526656, 554, 
20060621, 5.49, 5.52, 5.38, 5.41, 2295961.6, 4220117, 550, 
20060622, 5.45, 5.48, 5.36, 5.37, 1845047.6, 3411238, 541, 
20060623, 5.37, 5.58, 5.31, 5.52, 3370274.4, 6154007, 537, 
20060626, 5.5, 5.63, 5.5, 5.63, 3242599.8, 5811717, 552, 
20060627, 5.6, 5.63, 5.49, 5.58, 2255350.4, 4059245, 563, 
20060628, 5.57, 5.58, 5.48, 5.53, 1985111.6, 3594834, 558, 
20060629, 5.51, 5.66, 5.51, 5.62, 3855062.4, 6876104, 553, 
