date,open,high,low,close,amount,volume
2006-01-11,6.28,6.3500000000000005,6.2,6.23,60874420.0,97492.82
2006-01-12,6.21,6.28,6.19,6.28,41928720.0,67205.29000000001
2006-01-13,6.25,6.3500000000000005,6.18,6.21,49797332.0,79966.73
2006-01-16,6.18,6.18,6.08,6.09,59761384.0,97704.21
2006-01-17,6.09,6.18,6.05,6.140000000000001,33457474.0,54548.65
2006-01-18,6.140000000000001,6.26,6.11,6.23,41664884.0,67116.04000000001
2006-01-19,6.23,6.3,6.18,6.28,49647188.0,79591.03
2006-01-20,6.32,6.33,6.18,6.23,38794296.0,62290.93
2006-01-23,6.23,6.25,6.140000000000001,6.18,43698188.0,70773.31
2006-01-24,6.16,6.2700000000000005,6.140000000000001,6.26,51929168.0,83739.49
2006-01-25,6.25,6.36,6.23,6.3500000000000005,72851120.0,115598.52
2006-02-06,6.3500000000000005,6.47,6.32,6.4,68383376.0,107031.27
2006-02-07,6.4,6.4,6.2,6.3,76012320.0,120944.92
2006-02-08,6.2700000000000005,6.3100000000000005,6.18,6.3,47678716.0,76537.0
2006-02-09,6.28,6.29,6.18,6.19,45127692.0,72779.97
2006-02-10,6.2,6.24,6.15,6.21,36875400.0,59488.96
2006-02-13,6.21,6.26,6.16,6.21,33694048.0,54384.83
2006-02-14,6.19,6.29,6.16,6.23,33789404.0,54176.380000000005
2006-02-15,6.2700000000000005,6.44,6.2700000000000005,6.32,96683808.0,151888.26
2006-02-16,6.3,6.3,6.17,6.17,58602032.0,94300.67
2006-02-17,6.17,6.28,6.13,6.24,53456824.0,86068.34
2006-02-20,6.24,6.38,6.18,6.29,70511248.0,111640.54000000001
2006-02-21,6.29,6.84,6.26,6.79,296836096.0,448756.16000000003
2006-02-22,6.7700000000000005,6.8500000000000005,6.66,6.79,248056240.0,366174.0
2006-02-23,6.8,7.0600000000000005,6.78,7.01,323757120.0,464860.43
2006-02-24,7.01,7.04,6.9,7.03,185345904.0,265480.48
2006-02-27,7.05,7.1000000000000005,6.8,6.82,157473744.0,228343.4
2006-02-28,6.8,6.890000000000001,6.63,6.84,123162480.0,182256.04
2006-03-01,6.84,6.890000000000001,6.74,6.78,96867696.0,142523.99
2006-03-02,6.78,6.79,6.48,6.5600000000000005,138277792.0,208867.36000000002
2006-03-03,6.54,6.61,6.43,6.54,100863136.0,154893.33000000002
2006-03-06,6.5200000000000005,6.640000000000001,6.5,6.5600000000000005,59617544.0,90699.64
2006-03-07,6.5600000000000005,6.5600000000000005,6.3100000000000005,6.32,73589280.0,115104.33
2006-03-08,6.3100000000000005,6.42,6.2700000000000005,6.38,55516964.0,87535.46
2006-03-09,6.38,6.38,6.19,6.24,60652952.0,96819.56
2006-03-10,6.23,6.29,6.16,6.18,65528284.0,105557.06
2006-03-13,6.2,6.29,6.17,6.2700000000000005,54041056.0,86845.06
2006-03-14,6.26,6.2700000000000005,6.17,6.2,46088060.0,74336.03
2006-03-15,6.2,6.28,6.2,6.28,37442960.0,59902.24
2006-03-16,6.28,6.37,6.25,6.29,48290272.0,76519.11
2006-03-17,6.29,6.3100000000000005,6.2,6.2,37054920.0,59477.56
2006-03-20,6.2,6.3,6.15,6.28,42004176.0,67418.31
2006-03-21,6.28,6.42,6.23,6.3500000000000005,103448864.0,162677.21
2006-03-22,6.36,6.41,6.3100000000000005,6.3500000000000005,46371828.0,73080.55
2006-03-23,6.3500000000000005,6.44,6.3500000000000005,6.4,59044928.0,92361.34
2006-03-24,6.4,6.42,6.3100000000000005,6.3100000000000005,45433048.0,71661.45
2006-03-27,6.3100000000000005,6.36,6.19,6.3500000000000005,55648504.0,88769.03
2006-03-28,6.3500000000000005,6.41,6.32,6.390000000000001,58630460.0,91951.63
2006-03-29,6.4,6.58,6.390000000000001,6.5,123464528.0,190397.57
2006-03-30,6.49,6.54,6.3100000000000005,6.37,82853544.0,129191.77
2006-03-31,6.3,6.47,6.26,6.37,65720500.0,103648.46
2006-04-03,6.32,6.47,6.28,6.41,80419640.0,125978.76000000001
2006-04-04,6.41,6.63,6.37,6.57,131220016.0,201242.52000000002
2006-04-05,6.57,6.66,6.51,6.6000000000000005,127274688.0,192601.7
2006-04-06,6.63,6.69,6.49,6.5200000000000005,116712608.0,178045.28
2006-04-07,6.5200000000000005,6.5600000000000005,6.41,6.47,77509176.0,119630.06
2006-04-10,6.48,6.75,6.48,6.74,133943984.0,200389.46
2006-04-11,6.74,7.03,6.67,6.92,213419312.0,312124.51
2006-04-12,6.92,6.93,6.72,6.74,109360608.0,160220.6
2006-04-13,6.71,6.84,6.6000000000000005,6.62,102462712.0,152970.93
2006-04-14,6.61,6.86,6.58,6.8500000000000005,94447256.0,140248.35
2006-04-17,6.8500000000000005,6.91,6.75,6.82,91209824.0,133423.39
2006-04-18,6.82,6.88,6.72,6.74,73985968.0,109311.09
2006-04-19,6.76,6.99,6.66,6.88,151203968.0,221367.12
2006-04-20,6.87,6.95,6.75,6.79,95454392.0,139801.1
2006-04-21,6.79,6.890000000000001,6.71,6.84,119113824.0,174793.71
2006-04-24,6.8,6.86,6.5,6.51,158330208.0,237667.13
2006-04-25,6.5,6.5,6.3,6.390000000000001,109468960.0,170603.63
2006-04-26,6.44,7.03,6.43,7.03,158274096.0,228455.26
2006-04-27,7.29,7.54,7.13,7.3500000000000005,630296640.0,858524.6
2006-04-28,7.69,8.09,7.26,7.88,523034656.0,684980.93
2006-05-08,7.88,8.05,7.7,7.86,324025632.0,411771.49
2006-05-09,7.88,8.5,7.66,8.39,394876736.0,495567.2
2006-05-10,8.33,8.66,8.06,8.290000000000001,349094624.0,417477.67
2006-05-11,8.25,8.75,8.14,8.32,390102784.0,457817.95
2006-05-12,8.33,8.700000000000001,8.290000000000001,8.540000000000001,319976928.0,375639.08
2006-05-15,8.51,8.700000000000001,8.33,8.63,297640096.0,351064.47000000003
2006-05-16,8.55,8.6,8.06,8.2,291836192.0,352574.81
2006-05-17,8.21,8.47,8.1,8.23,219569760.0,265215.25
2006-05-18,8.24,8.25,7.890000000000001,8.1,187545328.0,232857.29
2006-05-19,8.1,8.4,8.03,8.31,208534320.0,252505.46
2006-05-22,8.26,8.31,8.120000000000001,8.21,210183296.0,256455.2
2006-05-23,8.15,8.16,7.84,7.8500000000000005,186638848.0,233881.48
2006-05-24,7.86,8.27,7.8500000000000005,8.03,211921264.0,262901.36
2006-05-25,8.03,8.25,7.9,8.2,171703824.0,211028.43
2006-05-26,8.25,8.99,8.23,8.78,612343296.0,709075.28
2006-06-12,7.9,7.9,7.9,7.9,17922730.0,22687.0
2006-06-13,7.11,7.3,7.11,7.11,618648704.0,867240.24
2006-06-14,7.1000000000000005,7.18,6.8500000000000005,7.13,214766016.0,304772.97000000003
2006-06-16,7.21,7.2700000000000005,7.07,7.11,208844352.0,292451.89
2006-06-19,7.05,7.15,6.8,7.07,141334304.0,200856.45
2006-06-20,7.0600000000000005,7.16,6.97,7.12,143171456.0,202263.15
2006-06-21,7.12,7.21,7.08,7.18,171001808.0,238934.23
2006-06-22,7.18,7.48,7.15,7.4,266218320.0,361339.33
2006-06-23,7.37,7.37,7.24,7.29,136585600.0,187236.88
2006-06-27,7.29,7.43,7.28,7.4,153653552.0,209260.52000000002
2006-06-28,7.4,7.4,7.29,7.3100000000000005,142650832.0,194498.62
2006-06-29,7.3,7.49,7.2700000000000005,7.47,164791264.0,222134.09
2006-06-30,7.49,7.68,7.48,7.5600000000000005,169301152.0,223635.06
2006-07-03,7.5600000000000005,8.2,7.5600000000000005,8.1,258392496.0,325488.12
2006-07-04,8.11,8.16,7.8500000000000005,8.040000000000001,183715168.0,229465.86000000002
2006-07-05,8.040000000000001,8.23,8.0,8.05,216430336.0,267597.64
2006-07-06,8.05,8.05,7.88,7.95,167413824.0,211302.95
2006-07-07,7.95,7.95,7.58,7.71,203779008.0,261447.09
2006-07-19,7.3500000000000005,7.5,7.05,7.15,89717552.0,123883.12
2006-07-20,7.15,7.26,7.11,7.17,42991896.0,59909.28
2006-07-21,7.18,7.3500000000000005,7.18,7.2,46545464.0,64034.08
2006-07-24,7.17,7.28,7.05,7.26,30064478.0,41847.24
2006-07-25,7.25,7.32,7.21,7.23,51096312.0,70549.83
2006-07-26,7.23,7.25,7.12,7.16,58427280.0,81597.83
2006-07-27,7.15,7.23,7.01,7.0600000000000005,101244848.0,142410.63
2006-07-28,7.05,7.12,6.87,6.96,77385736.0,111252.0
2006-07-31,6.9,6.92,6.69,6.72,77544800.0,114640.67
2006-08-01,6.73,6.8,6.6000000000000005,6.7,45597476.0,68052.0
2006-08-02,6.7,6.8500000000000005,6.65,6.82,43451380.0,64418.97
2006-08-03,6.86,6.9,6.75,6.84,32417880.0,47455.56
