date, open, high, low, close, amount, vol, str07
20060111, 1.7, 1.71, 1.68, 1.7, 572519.35, 3372554, 171, 
20060112, 1.69, 1.72, 1.67, 1.72, 691950.4, 4091492, 170, 
20060113, 1.72, 1.73, 1.68, 1.7, 554595.85, 3262149, 172, 
20060116, 1.71, 1.71, 1.67, 1.69, 540021.7, 3196712, 170, 
20060117, 1.67, 1.74, 1.65, 1.71, 804468.8, 4720177, 169, 
20060118, 1.71, 1.73, 1.7, 1.72, 877478.6, 5126617, 171, 
20060119, 1.72, 1.73, 1.7, 1.71, 544905.8, 3185703, 172, 
20060120, 1.71, 1.72, 1.67, 1.69, 623768.5, 3686653, 171, 
20060123, 1.69, 1.71, 1.67, 1.7, 496583.9, 2941720, 169, 
20060124, 1.7, 1.7, 1.66, 1.66, 592391.55, 3525627, 170, 
20060125, 1.65, 1.7, 1.64, 1.67, 480019.85, 2880875, 166, 
20060206, 1.68, 1.71, 1.67, 1.71, 535484.75, 3160242, 167, 
20060207, 1.71, 1.71, 1.68, 1.69, 487861.8, 2883090, 171, 
20060208, 1.69, 1.71, 1.68, 1.71, 508783.1, 2992245, 169, 
20060209, 1.72, 1.8, 1.72, 1.8, 2412927.6, 13441310, 171, 
20060210, 1.81, 1.81, 1.76, 1.79, 1156205.4, 6509229, 180, 
20060213, 1.78, 1.82, 1.77, 1.79, 740465.0, 4123506, 179, 
20060214, 1.79, 1.86, 1.78, 1.81, 838984.0, 4599687, 179, 
20060215, 1.81, 1.82, 1.76, 1.79, 708675.45, 3956010, 181, 
20060216, 1.78, 1.79, 1.7, 1.72, 788081.55, 4522268, 179, 
20060217, 1.72, 1.75, 1.69, 1.72, 596079.1, 3462949, 172, 
20060220, 1.73, 1.81, 1.7, 1.8, 1255268.1, 7058886, 172, 
20060221, 1.78, 1.81, 1.77, 1.81, 581639.05, 3248295, 180, 
20060222, 1.81, 1.81, 1.77, 1.77, 617415.15, 3450292, 181, 
20060223, 1.77, 1.8, 1.74, 1.79, 659976.1, 3724575, 177, 
20060224, 1.8, 1.82, 1.78, 1.8, 816709.8, 4527838, 179, 
20060227, 1.8, 1.82, 1.78, 1.8, 536092.15, 2975206, 180, 
20060228, 1.8, 1.8, 1.76, 1.79, 515464.8, 2894105, 180, 
20060301, 1.79, 1.79, 1.77, 1.79, 330732.025, 1857469, 179, 
20060302, 1.78, 1.78, 1.72, 1.73, 659175.4, 3750941, 179, 
20060303, 1.74, 1.79, 1.73, 1.75, 534551.0, 3045310, 173, 
20060306, 1.74, 1.77, 1.73, 1.75, 345581.025, 1975472, 175, 
20060307, 1.75, 1.75, 1.67, 1.69, 596167.55, 3504698, 175, 
20060308, 1.68, 1.69, 1.64, 1.66, 363519.925, 2180059, 169, 
20060309, 1.67, 1.69, 1.65, 1.66, 312030.775, 1871689, 166, 
20060310, 1.66, 1.71, 1.65, 1.7, 340504.275, 2037916, 166, 
20060313, 1.7, 1.7, 1.67, 1.7, 155755.55, 922127, 170, 
20060314, 1.7, 1.7, 1.66, 1.66, 179546.2875, 1068965, 170, 
20060315, 1.67, 1.7, 1.67, 1.69, 246507.575, 1467642, 166, 
20060316, 1.68, 1.69, 1.66, 1.67, 258779.65, 1548410, 169, 
20060317, 1.66, 1.68, 1.65, 1.68, 205747.075, 1236494, 167, 
20060320, 1.68, 1.72, 1.66, 1.72, 420258.45, 2475931, 168, 
20060321, 1.72, 1.74, 1.7, 1.7, 465829.3, 2713911, 172, 
20060322, 1.7, 1.71, 1.68, 1.7, 282882.875, 1668041, 170, 
20060323, 1.69, 1.72, 1.69, 1.72, 302661.875, 1773789, 170, 
20060324, 1.73, 1.73, 1.69, 1.7, 264001.525, 1551469, 172, 
20060327, 1.7, 1.74, 1.66, 1.74, 548467.3, 3225037, 170, 
20060328, 1.73, 1.83, 1.72, 1.81, 1628091.2, 9094600, 174, 
20060329, 1.81, 1.82, 1.77, 1.78, 1055487.3, 5880428, 181, 
20060330, 1.79, 1.8, 1.74, 1.75, 621520.1, 3501606, 178, 
20060331, 1.74, 1.79, 1.73, 1.78, 545397.2, 3104557, 175, 
20060403, 1.78, 1.81, 1.77, 1.78, 667001.85, 3738153, 178, 
20060404, 1.78, 1.79, 1.75, 1.78, 773078.85, 4378961, 178, 
20060405, 1.79, 1.81, 1.76, 1.8, 687973.0, 3838788, 178, 
20060406, 1.8, 1.81, 1.77, 1.78, 604978.45, 3391489, 180, 
20060407, 1.78, 1.79, 1.76, 1.78, 601361.6, 3385556, 178, 
20060410, 1.78, 1.87, 1.78, 1.87, 1248091.2, 6818897, 178, 
20060411, 1.94, 1.96, 1.92, 1.96, 2917033.4, 14900988, 187, 
20060412, 2.05, 2.06, 1.93, 2.0, 2799937.4, 14022568, 196, 
20060413, 2.0, 2.09, 1.99, 2.0, 2781596.0, 13562475, 200, 
20060414, 1.99, 2.03, 1.97, 2.03, 1134061.9, 5659376, 200, 
